Leg_or_Expedition,Site,Holes,Start_Date,End_Date,Region,Latitude,Longitude,Water_Depth,Drilled_Interval_m ,Number_of_cores,Core_Depth_m ,Program,Core_Repository
353,U1443,A,8-Dec-14,10-Dec-14,The crest of Ninetyeast Ridge,5.38333333,90.36194444,2929.4,,48,326.8,IODP,KCC
,,B,10-Dec-14,12-Dec-14,The crest of Ninetyeast Ridge,5.38361111,90.36194444,2924.8,,40,308.51,IODP,KCC
,,C,13-Dec-14,14-Dec-14,The crest of Ninetyeast Ridge,5.38333333,90.36166667,2924.7,1.5,28,182.87,IODP,KCC
,,D,14-Dec-14,14-Dec-14,The crest of Ninetyeast Ridge,5.38333333,90.36166667,2924.6,,2,7.48,IODP,KCC
,U1444,A,24-Dec-14,26-Dec-14,Western part of the Bengal Fan,14,84.82916667,3131.7,,37,226.05,IODP,KCC
,,B,27-Dec-14,27-Dec-14,Western part of the Bengal Fan,14,84.82916667,3131.8,47.5,9,74.16,IODP,KCC
,U1445,A,1-Jan-15,5-Jan-15,"Near the southern end of the Mahanadi basin, on the eastern margin of India",17.74527778,84.7875,2502.3,,77,666.4,IODP,KCC
,,B,7-Jan-15,7-Jan-15,"Near the southern end of the Mahanadi basin, on the eastern margin of India",17.74527778,84.7875,2503.6,,4,33.36,IODP,KCC
,,C,7-Jan-15,9-Jan-15,"Near the southern end of the Mahanadi basin, on the eastern margin of India",17.74527778,84.78722222,2502.6,,36,305.6,IODP,KCC
,U1446,A,10-Jan-15,11-Jan-15,Mahanadi offshore basin on the eastern margin of India,19.08361111,85.735,1430.2,,21,186.63,IODP,KCC
,,B,11-Jan-15,11-Jan-15,Mahanadi offshore basin on the eastern margin of India,19.08361111,85.73472222,1429.4,,3,27.2,IODP,KCC
,,C,11-Jan-15,12-Jan-15,Mahanadi offshore basin on the eastern margin of India,19.08361111,85.73472222,1430,,23,180.75,IODP,KCC
,U1447,A,15-Jan-15,20-Jan-15,~45km offshore little Andaman Island,10.79027778,93,1390.9,,88,732.96,IODP,KCC
,,B,20-Jan-15,20-Jan-15,~45km offshore little Andaman Island,10.79,93,1391.8,,3,24.26,IODP,KCC
,,C,20-Jan-15,21-Jan-15,~45km offshore little Andaman Island,10.79,93.00027778,1392.3,2,17,158.32,IODP,KCC
,U1448,A,21-Jan-15,23-Jan-15,~44km offshore little Andaman Island,10.63388889,93,1098.3,,60,434.82,IODP,KCC
,,B,23-Jan-15,24-Jan-15,~44km offshore little Andaman Island,10.63361111,93,1096.5,1.5,57,369.38,IODP,KCC
,,C,25-Jan-15,25-Jan-15,~44km offshore little Andaman Island,10.63472222,93.00027778,1096.8,,4,34.77,IODP,KCC
354,U1449,A,7-Feb-15,9-Feb-15,Middle Bengal Fan at 8°N,8.00694444,88.11,3652.7,1,37,129.38,IODP,KCC
,,B,10-Feb-15,10-Feb-15,Middle Bengal Fan at 8°N,8.00694444,88.11027778,3651.9,,1,7.91,IODP,KCC
,U1450,A,10-Feb-15,16-Feb-15,The east-west transect across the Bengal fan at 8°N,8.00055556,87.67083333,3655.3,242.7,86,282.73,IODP,KCC
,,B,9-Mar-15,10-Mar-15,The east-west transect across the Bengal fan at 8°N,8.00694444,87.67111111,3655.4,608,21,46.66,IODP,KCC
,U1451,A,17-Feb-15,21-Feb-15,The easternmost site of the Bengal Fan at 8°N,8.00694444,88.74166667,3607.3,187.2,72,337.8,IODP,KCC
